TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
65.771060,10.0.0.1:56084,10.0.0.2:5000,6,134,0.780,76,0,0,252
65.775827,10.0.0.1:56084,10.0.0.2:5000,6,134,1.010,76,0,0,252
65.776646,10.0.0.1:56084,10.0.0.2:5000,6,134,0.758,76,0,0,252
65.780308,10.0.0.1:56084,10.0.0.2:5000,6,134,0.656,76,0,0,252
65.788444,10.0.0.1:56084,10.0.0.2:5000,6,134,0.660,76,0,0,252
65.793646,10.0.0.1:56084,10.0.0.2:5000,6,134,0.666,76,0,0,252
65.812099,10.0.0.1:56084,10.0.0.2:5000,6,133,0.678,76,0,0,252
65.816723,10.0.0.1:56084,10.0.0.2:5000,6,134,0.854,76,0,0,252
65.819122,10.0.0.1:56084,10.0.0.2:5000,6,134,0.786,76,0,0,252
65.823263,10.0.0.1:56084,10.0.0.2:5000,6,134,0.813,76,0,0,252
65.825100,10.0.0.1:56084,10.0.0.2:5000,6,133,0.728,76,0,0,252
65.829614,10.0.0.1:56084,10.0.0.2:5000,6,134,0.627,76,0,0,252
65.841760,10.0.0.1:56084,10.0.0.2:5000,6,134,1.096,76,0,0,252
65.846760,10.0.0.1:56084,10.0.0.2:5000,6,134,1.141,76,0,0,252
65.852756,10.0.0.1:56084,10.0.0.2:5000,6,133,1.146,76,0,0,252
65.857884,10.0.0.1:56084,10.0.0.2:5000,6,134,1.199,76,0,0,252
65.858145,10.0.0.1:56084,10.0.0.2:5000,6,133,1.013,76,0,0,252
65.863038,10.0.0.1:56084,10.0.0.2:5000,6,133,0.814,76,0,0,252
65.863185,10.0.0.1:56084,10.0.0.2:5000,6,133,0.639,76,0,0,252
65.863196,10.0.0.1:56084,10.0.0.2:5000,6,133,0.502,76,0,0,252
65.866595,10.0.0.1:56084,10.0.0.2:5000,6,133,0.464,77,0,0,252
65.868414,10.0.0.1:56084,10.0.0.2:5000,6,133,0.469,77,0,0,252
65.872162,10.0.0.1:56084,10.0.0.2:5000,6,133,0.683,77,0,0,252
65.872913,10.0.0.1:56084,10.0.0.2:5000,6,133,0.527,77,0,0,252
65.874413,10.0.0.1:56084,10.0.0.2:5000,6,133,0.481,77,0,0,252
65.874447,10.0.0.1:56084,10.0.0.2:5000,6,133,0.430,77,0,0,252
65.875793,10.0.0.1:56084,10.0.0.2:5000,6,133,0.429,77,0,0,252
65.880702,10.0.0.1:56084,10.0.0.2:5000,6,133,0.346,77,0,0,252
65.881198,10.0.0.1:56084,10.0.0.2:5000,6,133,0.301,77,0,0,252
65.883101,10.0.0.1:56084,10.0.0.2:5000,6,133,0.266,77,0,0,252
